A,B,C,D,E,F,G,H,I,J,K
24, -56986.078125, -2990.529052734375, -2238.03515625, 682.4880981445312, -18738.380859375, -4132.4794921875, -861.05615234375, -55277.109375, , 1714826858224.721
25, -56986.14453125, -2664.573486328125, -1941.3829345703125, 764.5636596679688, -18731.005859375, -4254.72119140625, -813.8492431640625, -55244.5859375, , 1714826858228.829
26, -56960.328125, -3045.983642578125, -2237.6328125, 743.0389404296875, -18705.189453125, -3074.884521484375, -576.60791015625, -55192.1484375, , 1714826858232.553
27, -56952.6171875, -3484.927001953125, -2591.818603515625, 656.0682983398438, -18702.640625, -2675.6376953125, -572.7186889648438, -55208.30859375, , 1714826858236.752
28, -56976.625, -3210.403076171875, -2361.953369140625, 671.8933715820312, -18723.09375, -3748.990478515625, -805.333251953125, -55260.01171875, , 1714826858240.592
29, -56987.015625, -2725.459716796875, -1949.2283935546875, 770.2633666992188, -18719.60546875, -4343.30126953125, -849.9920654296875, -55254.30859375, , 1714826858244.178
30, -56966.5, -2942.450439453125, -2105.3330078125, 744.71533203125, -18702.037109375, -3369.927490234375, -631.0567016601562, -55216.42578125, , 1714826858248.266
31, -56950.13671875, -3494.7841796875, -2546.556396484375, 641.114990234375, -18702.23828125, -2569.6904296875, -538.2523193359375, -55219.7109375, , 1714826858252.33
0, -56966.02734375, -3407.411376953125, -2476.21533203125, 649.36279296875, -18726.177734375, -3374.621337890625, -735.864013671875, -55265.375, , 1714826858256.255
1, -56992.3828125, -2858.966552734375, -2002.7384033203125, 748.4703979492188, -18746.96484375, -4325.46435546875, -862.7325439453125, -55283.27734375, , 1714826858260.011
2, -56985.2734375, -2879.21728515625, -1978.732666015625, 762.8202514648438, -18735.833984375, -3660.343505859375, -676.453125, -55244.51953125, , 1714826858263.765
3, -56967.16796875, -3433.0263671875, -2441.279541015625, 694.7592163085938, -18714.041015625, -2587.996337890625, -520.1473999023438, -55224.203125, , 1714826858267.875
4, -56979.84375, -3541.05224609375, -2558.08984375, 658.7505493164062, -18727.451171875, -3023.92236328125, -671.4910278320312, -55262.35546875, , 1714826858271.623
5, -56993.65625, -3006.488037109375, -2105.265869140625, 712.1935424804688, -18746.025390625, -4166.4091796875, -847.7792358398438, -55287.30078125, , 1714826858275.852
6, -56980.78125, -2795.26416015625, -1912.8173828125, 768.7881469726562, -18722.892578125, -3939.3603515625, -728.2868041992188, -55254.578125, , 1714826858279.593
7, -56961.53515625, -3266.7294921875, -2299.860107421875, 712.6629638671875, -18701.904296875, -2743.89990234375, -520.080322265625, -55228.16015625, , 1714826858283.302
8, -56964.48828125, -3574.37890625, -2572.97607421875, 634.0071411132812, -18708.408203125, -2712.11572265625, -598.736083984375, -55252.43359375, , 1714826858287.395
9, -56991.30859375, -3169.096923828125, -2237.901123046875, 651.1062622070312, -18741.197265625, -3880.4189453125, -824.9133911132812, -55290.51953125, , 1714826858291.084
10, -56999.55859375, -2768.039794921875, -1899.473388671875, 743.3742065429688, -18742.875, -4134.22265625, -793.6656494140625, -55277.78125, , 1714826858295.204
11, -56977.8984375, -3088.630615234375, -2156.8984375, 707.7008666992188, -18718.33203125, -3008.56689453125, -556.960693359375, -55238.55078125, , 1714826858299.254
12, -56968.44140625, -3536.224365234375, -2547.226806640625, 586.8673095703125, -18707.46875, -2518.661376953125, -532.3514404296875, -55245.19140625, , 1714826858302.865
13, -56986.01171875, -3281.280517578125, -2351.09033203125, 602.9605712890625, -18718.466796875, -3531.26220703125, -745.9893798828125, -55280.1953125, , 1714826858307.024
